C,A Coruna (La Coruna)
VI,Araba/Alava
AB,Albacete
A,Alicante/Alacant
AL,Almeria
O,Asturias
AV,Avila
BA,Badajoz
PM,Balears (Baleares)
B,Barcelona (Barcelona)
BI,Bizkaia(Vizcaya)
BU,Burgos
CC,Caceres
CA,Cadiz
S,Cantabria
CS,Castellon/Castello
CR,Ciudad Real
CO,Cordoba
CU,Cuenca
SS,Gipuzkoa(Guipuzcoa)
GI,Girona (Gerona)
GR,Granada
GU,Guadalajara
H,Huelva
HU,Huesca
J,Jaen
LO,La Rioja
GC,Las Palmas
LE,Leon
L,Lleida (Lerida)
LU,Lugo (Lugo)
M,Madrid
MA,Malaga
MU,Murcia
NA,Navarra/Nafarroa
OR,Ourense (Orense)
P,Palencia
PO,Pontevedra (Pontevedra)
SA,Salamanca
TF,Santa Cruz de Tenerife
SG,Segovia
SE,Sevilla
SO,Soria
T,Tarragona (Tarragona)
TE,Teruel
TO,Toledo
V,Valencia/Valencia
VA,Valladolid
ZA,Zamora
Z,Zaragoza
CE,Ceuta
ME,Melilla